注文番号,商品コード,商品名,数量,種別,適用サイズ_実績,適用サイズ_予測,総数量,充填率,lx,ly,lz
001,172,ﾏｲﾙﾄﾞｿｰﾌﾟ　10個ｾｯﾄ,1,up（GLPK）,60サイズ,80サイズ,5,0.43089,300,156,58
001,22292,薬用PWｶﾗｰﾍﾞｰｽ　ｱﾌﾟﾘｺｯﾄ,2,up（GLPK）,60サイズ,80サイズ,5,0.43089,101,36,25
001,22304,ﾒｰｸｱｯﾌﾟｽﾎﾟﾝｼﾞG,2,up（GLPK）,60サイズ,80サイズ,5,0.43089,97,89,5
002,151023600,クールタオルガーゼ・ミニマフラーグリーン系なし,1,up（GLPK）,60サイズ,80サイズ,4,0.691468,190,180,10
002,151027100,クールタオルガーゼ・ミニマフラーライトベージュなし,1,up（GLPK）,60サイズ,80サイズ,4,0.691468,190,180,10
002,153037903,足裏よろこぶフットベッドサンダルベージュ系M,1,up（GLPK）,60サイズ,80サイズ,4,0.691468,249,180,90
002,22838,ﾒｰｸｱｯﾌﾟ ﾊﾟﾌ N,1,up（GLPK）,60サイズ,80サイズ,4,0.691468,95,90,8
003,2871,30日 ｼﾄﾙﾘﾝ 90粒,1,up（GLPK）,60サイズ,80サイズ,3,0.773626,170,138,16
003,70026,ｺﾗｰｹﾞﾝﾋﾞｭｰﾃｨ9000ﾌﾟﾗｽ,2,up（GLPK）,60サイズ,80サイズ,3,0.773626,182,152,90
004,32826,30日 ｳｴｽﾄ気になる,1,up（GLPK）,60サイズ,80サイズ,5,0.796291,169,100,9
004,32675,30日 ｷﾞｬﾊﾞ(GABA),1,up（GLPK）,60サイズ,80サイズ,5,0.796291,169,100,10
004,70026,ｺﾗｰｹﾞﾝﾋﾞｭｰﾃｨ9000ﾌﾟﾗｽ,2,up（GLPK）,60サイズ,80サイズ,5,0.796291,182,152,90
004,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,1,up（GLPK）,60サイズ,80サイズ,5,0.796291,170,138,9
005,22174,PAﾅﾉｺﾛｲﾄﾞﾐｽﾄ,1,up（GLPK）,60サイズ,80サイズ,4,0.874949,178,178,178
005,70073,30日ｺｴﾝｻﾞｲﾑQ10還元型,1,up（GLPK）,60サイズ,80サイズ,4,0.874949,169,100,8
005,23125,PAﾓｲｽﾁｭｱﾐﾙｸ,1,up（GLPK）,60サイズ,80サイズ,4,0.874949,148,40,40
005,23544,ﾓｲｽﾁｭｱｹｱﾌﾙｶﾊﾞｰｺﾝｼｰﾗｰﾅﾁｭﾗﾙｵｰｸﾙ01 2.2g,1,up（GLPK）,60サイズ,80サイズ,4,0.874949,39,38,30
006,23340,ﾌﾟﾚﾐｱﾑｶﾗｰﾄﾘｰﾄﾒﾝﾄ(ﾀﾞｰｸﾌﾞﾗｳﾝ),1,up（GLPK）,60サイズ,80サイズ,3,0.935812,220,63,50
006,2371,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ専用ｼｪｰｶｰｺｯﾌﾟ,1,up（GLPK）,60サイズ,80サイズ,3,0.935812,192,87,87
006,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,3,0.935812,210,165,125
007,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,2,0.98544,210,165,125
007,70026,ｺﾗｰｹﾞﾝﾋﾞｭｰﾃｨ9000ﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,2,0.98544,182,152,90
008,23376,ﾌﾚｰﾑｷｰﾌﾟﾘｷｯﾄﾞｱｲﾗｲﾅｰﾌﾞﾗｯｸ,1,up（GLPK）,80サイズ,100サイズ,4,1.065649,129,20,14
008,2371,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ専用ｼｪｰｶｰｺｯﾌﾟ,1,up（GLPK）,80サイズ,100サイズ,4,1.065649,192,87,87
008,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,80サイズ,100サイズ,4,1.065649,210,165,125
008,70099,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽｰﾌﾟﾊﾟｽﾀ（15袋入）,1,up（GLPK）,80サイズ,100サイズ,4,1.065649,248,247,162
009,152457200,本革2WAYショルダーベージュなし,1,up（GLPK）,80サイズ,100サイズ,1,1.069095,390,270,150
010,32628,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(いちごﾐﾙｸ味),1,up（GLPK）,60サイズ,80サイズ,4,1.286524,165,132,70
010,32628,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(いちごﾐﾙｸ味),1,up（GLPK）,60サイズ,80サイズ,4,1.286524,165,132,70
010,32628,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(いちごﾐﾙｸ味),1,up（GLPK）,60サイズ,80サイズ,4,1.286524,165,132,70
010,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,4,1.286524,210,165,125
011,32628,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(いちごﾐﾙｸ味),1,up（GLPK）,60サイズ,80サイズ,3,1.291179,165,132,70
011,32740,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽﾑｰｼﾞｰ,1,up（GLPK）,60サイズ,80サイズ,3,1.291179,190,153,106
011,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,3,1.291179,210,165,125
012,32605,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｹｰｷ　ｽｲｰﾂｾﾚｸｼｮﾝ,2,up（GLPK）,60サイズ,80サイズ,2,1.301542,210,165,130
013,32740,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽﾑｰｼﾞｰ,3,up（GLPK）,60サイズ,80サイズ,3,1.33553,190,153,106
014,32740,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽﾑｰｼﾞｰ,3,up（GLPK）,60サイズ,80サイズ,3,1.33553,190,153,106
015,2124,青汁+豆乳 30缶入 190g*30缶,1,up（GLPK）,60サイズ,100サイズ,3,1.368299,320,266,107
015,2161,30日 ﾌﾞﾙｰﾍﾞﾘｰｴｷｽ 60粒,1,up（GLPK）,60サイズ,100サイズ,3,1.368299,169,100,9
015,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,1,up（GLPK）,60サイズ,100サイズ,3,1.368299,170,138,9
016,32626,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(15袋入),1,up（GLPK）,60サイズ,100サイズ,2,2.059398,210,165,125
016,70099,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽｰﾌﾟﾊﾟｽﾀ（15袋入）,1,up（GLPK）,60サイズ,100サイズ,2,2.059398,248,247,162
017,150998903,さらっとコットン・バタフライスリーブブラックボーダーM,1,up（機械学習）,60サイズ,80サイズ,3,0.949754,440,295,20
017,539227803,胸を小さく見せるデオドラントブラグレージュM,1,up（機械学習）,60サイズ,80サイズ,3,0.949754,390,255,20
017,539227803,胸を小さく見せるデオドラントブラグレージュM,1,up（機械学習）,60サイズ,80サイズ,3,0.949754,390,255,20
018,150963503,至高のイージージャージー・カットソーカーキM,1,up（機械学習）,60サイズ,80サイズ,3,0.949899,340,250,20
018,150983503,至高のイージージャージー・スカートカーキM,1,up（機械学習）,60サイズ,80サイズ,3,0.949899,340,250,30
018,151164204,UV美肌シアーパーカーオフホワイトL,1,up（機械学習）,60サイズ,80サイズ,3,0.949899,310,250,30
019,150864203,UV美肌・つやカーデ (コラーゲン加工)オフホワイトM,1,up（機械学習）,60サイズ,80サイズ,3,1.022857,390,295,25
019,152415403,UV美肌・洗える綿混Vネックカーデ (遮熱)ネイビーM,1,up（機械学習）,60サイズ,80サイズ,3,1.022857,420,295,20
019,153184203,速乾アクアブリーズ・フレアカットソーオフホワイトM,1,up（機械学習）,60サイズ,80サイズ,3,1.022857,390,295,15
020,147454203,スリーブレスカットソー (LOC)オフホワイトM,1,up（機械学習）,60サイズ,80サイズ,4,1.026721,390,290,10
020,150968404,至高のイージージャージー・カットソーダークブラウンL,1,up（機械学習）,60サイズ,80サイズ,4,1.026721,340,250,20
020,150988404,至高のイージージャージー・スカートダークブラウンL,1,up（機械学習）,60サイズ,80サイズ,4,1.026721,340,250,30
020,153184205,速乾アクアブリーズ・フレアカットソーオフホワイトLL,1,up（機械学習）,60サイズ,80サイズ,4,1.026721,390,295,15
021,539529404,2枚組・大人のシェイプタンク (カップ付き)ブラックL,1,up（機械学習）,60サイズ,80サイズ,3,1.039904,360,240,70
021,539949403,お腹を細く見せるシェイプショーツブラックM,1,up（機械学習）,60サイズ,80サイズ,3,1.039904,250,230,10
