注文番号,商品コード,商品名,数量,種別,適用サイズ_実績,適用サイズ_予測,総数量,充填率,lx,ly,lz
1,172,ﾏｲﾙﾄﾞｿｰﾌﾟ　10個ｾｯﾄ,1,up（GLPK）,60サイズ,80サイズ,5,0.43089,300,156,58
1,22292,薬用PWｶﾗｰﾍﾞｰｽ　ｱﾌﾟﾘｺｯﾄ,2,up（GLPK）,60サイズ,80サイズ,5,0.43089,101,36,25
1,22304,ﾒｰｸｱｯﾌﾟｽﾎﾟﾝｼﾞG,2,up（GLPK）,60サイズ,80サイズ,5,0.43089,97,89,5
2,151023600,クールタオルガーゼ・ミニマフラーグリーン系なし,1,up（GLPK）,60サイズ,80サイズ,4,0.691468,190,180,10
2,151027100,クールタオルガーゼ・ミニマフラーライトベージュなし,1,up（GLPK）,60サイズ,80サイズ,4,0.691468,190,180,10
2,153037903,足裏よろこぶフットベッドサンダルベージュ系M,1,up（GLPK）,60サイズ,80サイズ,4,0.691468,249,180,90
2,22838,ﾒｰｸｱｯﾌﾟ ﾊﾟﾌ N,1,up（GLPK）,60サイズ,80サイズ,4,0.691468,95,90,8
3,2871,30日 ｼﾄﾙﾘﾝ 90粒,1,up（GLPK）,60サイズ,80サイズ,3,0.773626,170,138,16
3,70026,ｺﾗｰｹﾞﾝﾋﾞｭｰﾃｨ9000ﾌﾟﾗｽ,2,up（GLPK）,60サイズ,80サイズ,3,0.773626,182,152,90
4,32826,30日 ｳｴｽﾄ気になる,1,up（GLPK）,60サイズ,80サイズ,5,0.796291,169,100,9
4,32675,30日 ｷﾞｬﾊﾞ(GABA),1,up（GLPK）,60サイズ,80サイズ,5,0.796291,169,100,10
4,70026,ｺﾗｰｹﾞﾝﾋﾞｭｰﾃｨ9000ﾌﾟﾗｽ,2,up（GLPK）,60サイズ,80サイズ,5,0.796291,182,152,90
4,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,1,up（GLPK）,60サイズ,80サイズ,5,0.796291,170,138,9
5,22174,PAﾅﾉｺﾛｲﾄﾞﾐｽﾄ,1,up（GLPK）,60サイズ,80サイズ,4,0.874949,178,178,178
5,70073,30日ｺｴﾝｻﾞｲﾑQ10還元型,1,up（GLPK）,60サイズ,80サイズ,4,0.874949,169,100,8
5,23125,PAﾓｲｽﾁｭｱﾐﾙｸ,1,up（GLPK）,60サイズ,80サイズ,4,0.874949,148,40,40
